Column1.id_project,Column1.project,Column1.data.id_address,Column1.data.address_identifier,Column1.data.date,Column1.data.energy,Column1.data.injec,Column1.data.reactive_in,Column1.data.reactive_cap,Column1.data.reactive_ex,Column1.data.ia,Column1.data.ib,Column1.data.ic,Column1.data.va,Column1.data.vb,Column1.data.vc,Column1.data.freq
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T14:00:00,1.636,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T15:00:00,1.716,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T16:00:00,1.404,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T17:00:00,1.432,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T18:00:00,1.676,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T19:00:00,1.292,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T20:00:00,1.208,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T21:00:00,1.184,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T22:00:00,1.156,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-02T23:00:00,1.492,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T00:00:00,1.512,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T01:00:00,1.512,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T02:00:00,1.52,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T03:00:00,1.812,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T04:00:00,1.792,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T05:00:00,1.14,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T06:00:00,0.832,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T07:00:00,0.908,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T08:00:00,0.896,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T09:00:00,0.976,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T10:00:00,1.2,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T11:00:00,1.112,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T12:00:00,1.088,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T13:00:00,1.18,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T14:00:00,1.528,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T15:00:00,1.392,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T16:00:00,1.188,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T17:00:00,0.952,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T18:00:00,1.64,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T19:00:00,1.632,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T20:00:00,1.588,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T21:00:00,1.612,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T22:00:00,1.908,0,0,0,0,0,0,0,0,0,0,0
